time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-03-15T00:23:24.020Z,-44.9371,167.6442,130.64,4.5,mb,,82,0.544,0.85,us,us20008s7t,2017-03-15T00:59:48.786Z,"53km N of Te Anau, New Zealand",earthquake,7.1,7.2,0.128,18,reviewed,us,us
2017-03-15T00:00:27.110Z,-35.2035,-70.9627,98.42,4.6,mb,,55,0.436,1.02,us,us20008s7n,2017-03-15T08:26:12.851Z,"30km ESE of Molina, Chile",earthquake,5.5,5.1,0.08,46,reviewed,us,us
2017-03-14T23:43:19.630Z,46.4483333,-122.332,11.75,3.21,ml,33,70,0.1524,0.13,uw,uw61257321,2017-03-16T01:22:41.019Z,"12km SSW of Morton, Washington",earthquake,0.27,1.17,0.263,18,reviewed,uw,uw
2017-03-14T23:39:26.890Z,-40.5141,-91.8906,10,4.9,mb,,71,14.356,0.73,us,us20008s7j,2017-03-15T00:05:56.040Z,"West Chile Rise",earthquake,14.5,1.9,0.071,62,reviewed,us,us
2017-03-14T22:11:08.130Z,37.63,-119.0283333,-0.79,2.77,ml,40,63,0.002735,0.06,nc,nc72775511,2017-03-15T02:47:03.467Z,"5km WSW of Mammoth Lakes, California",earthquake,0.17,0.18,0.316,10,reviewed,nc,nc
2017-03-14T21:01:12.960Z,52.3035,-170.5655,52.3,5.1,mb,,130,0.662,1.06,us,us20008s6s,2017-03-14T21:22:42.338Z,"37km SSE of Yunaska Island, Alaska",earthquake,7.5,6.7,0.032,312,reviewed,us,us
2017-03-14T20:41:44.726Z,61.7259,-149.7093,29.8,2.8,ml,,,,0.79,ak,ak15492649,2017-03-15T17:14:42.040Z,"13km NNW of Meadow Lakes, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-03-14T20:31:27.290Z,-24.4112,-175.4864,10,5.1,mb,,91,5.285,1.39,us,us20008s6f,2017-03-15T17:06:12.040Z,"South of Tonga",earthquake,8.9,1.8,0.063,82,reviewed,us,us
2017-03-14T20:03:49.110Z,-24.0054,-67.0795,201.83,4.5,mb,,35,2.181,1.26,us,us20008s69,2017-03-15T16:46:25.040Z,"80km WNW of San Antonio de los Cobres, Argentina",earthquake,7.3,7.8,0.136,19,reviewed,us,us
2017-03-14T18:16:51.960Z,-30.3057,-177.4697,31.48,5.3,mb,,55,1.13,0.9,us,us100088xz,2017-03-15T15:56:11.040Z,"122km SSE of Raoul Island, New Zealand",earthquake,9,3.8,0.048,146,reviewed,us,us
2017-03-14T17:44:52.991Z,57.0487,-157.6922,10.1,3.1,ml,,,,0.83,ak,ak15491280,2017-03-14T17:56:29.104Z,"110km NE of Chignik Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-03-14T17:14:05.580Z,33.239,-116.0535,5.15,3.61,mw,86,27,0.06995,0.18,ci,ci37829080,2017-03-15T17:16:30.479Z,"11km SW of Salton City, CA",earthquake,0.12,0.52,,6,reviewed,ci,ci
2017-03-14T17:13:20.160Z,59.4862,-138.8847,4.2,3.3,ml,,,,0.71,us,us100088wx,2017-03-15T14:49:44.040Z,"48km E of Yakutat, Alaska",earthquake,1.9,6.7,,,reviewed,ak,ak
2017-03-14T16:39:56.830Z,27.3044,96.7895,54.34,4.4,mb,,116,3.796,0.76,us,us100088wt,2017-03-14T18:18:46.040Z,"91km SE of Tezu, India",earthquake,7.8,8.7,0.127,18,reviewed,us,us
2017-03-14T15:11:18.090Z,-33.5417,-71.3588,43.34,4.4,mb,,89,0.242,0.56,us,us100088wg,2017-03-15T05:51:47.024Z,"21km NW of Melipilla, Chile",earthquake,3.7,5.7,0.202,7,reviewed,us,us
2017-03-14T15:09:41.260Z,-2.9841,128.8034,44.21,4.4,mb,,89,3.441,0.93,us,us100088wi,2017-03-14T15:35:58.040Z,"39km ESE of Taniwel, Indonesia",earthquake,7.9,8.8,0.12,20,reviewed,us,us
2017-03-14T15:03:39.950Z,-15.6669,-177.1231,10,5.2,mb,,74,5.063,0.49,us,us100088wf,2017-03-14T16:16:48.153Z,"188km SE of Sigave, Wallis and Futuna",earthquake,10.6,1.8,0.049,138,reviewed,us,us
2017-03-14T14:15:43.100Z,18.8647,-64.9514,31,3,Md,3,302.4,0.50934477,0.01,pr,pr17073005,2017-03-14T16:03:46.254Z,"57km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.6,4.8,0,3,reviewed,pr,pr
2017-03-14T13:28:25.600Z,17.8015,-65.9475,8,2.6,Md,5,241.2,0.22188388,0.11,pr,pr17073004,2017-03-14T15:50:45.359Z,"20km SSE of Lamboglia, Puerto Rico",earthquake,0.8,1.5,0,4,reviewed,pr,pr
2017-03-14T13:13:38.120Z,3.643,95.8566,41.23,5.5,mb,,48,1.914,1.28,us,us100088vy,2017-03-14T17:32:56.040Z,"62km SSW of Meulaboh, Indonesia",earthquake,7,3.8,0.039,228,reviewed,us,us
2017-03-14T12:36:43.950Z,-20.9839,169.9928,129.73,5.6,mww,,49,2.582,1.02,us,us100088vp,2017-03-14T15:20:21.040Z,"175km SSE of Isangel, Vanuatu",earthquake,8.6,6.2,,,reviewed,us,us
